p (mmHg),V (cm3-STP/g)
0.002366629,3.073952417
0.009348086,6.093111866
0.026076643,8.995750075
0.057894826,11.67908099
0.108495437,14.01560812
0.213002801,16.82743339
0.382658392,19.45640729
0.656660378,22.04369016
1.041731715,24.40084977
1.54366219,26.51316435
2.155241489,28.39372584
2.864301205,30.06686835
3.654630184,31.564762
4.516103268,32.9099713
12.3702774,39.99073126
19.56602097,43.70683639
27.6938591,46.75964641
36.34897232,49.33632123
44.42064285,51.37850957
52.34363556,53.08162602
60.74250412,54.7446598
68.82366943,56.19059034
76.81266785,57.50278539
106.7122192,61.76036026
153.6874237,67.28620534
192.1275482,71.33791762
230.5635071,75.19400647
269.0953979,79.05457164
306.3826904,82.88982272
344.8355408,87.05585432
383.0129395,91.53700148
421.1468811,96.55841013
459.6158752,102.2452642
497.6592712,108.9282608
535.9375,117.0275349
566.618042,125.2171916
589.7245483,132.8618371
612.6138306,141.9709134
627.951355,149.6120725
643.2042236,158.8089823
658.3378296,170.1650576
670.0015869,181.2289821
681.3677979,194.8936426
692.72229,212.4448877
700.5961304,228.7657032
707.7800903,247.3586829
713.6481323,267.0170064
719.017334,290.3990744
724.3585815,319.7307747
728.5544434,353.0006348
733.3140869,404.2901031
737.083252,460.3250275
739.8206177,517.0643137
742.0933228,575.4363915
743.8934937,637.1742138
