t,c
0,0.22
0.405797101,0.215441176
0.710144928,0.211397059
1.115942029,0.206985294
1.724637681,0.202573529
2.231884058,0.198161765
2.637681159,0.192647059
3.347826087,0.188235294
4.057971014,0.183455882
4.565217391,0.180514706
5.275362319,0.175735294
6.188405797,0.170955882
6.898550725,0.166176471
7.710144928,0.158823529
8.927536232,0.154044118
9.637681159,0.151102941
10.14492754,0.146691176
11.46376812,0.141911765
12.47826087,0.136397059
13.1884058,0.130147059
14.30434783,0.125367647
15.31884058,0.119852941
16.53623188,0.114705882
17.24637681,0.109926471
18.46376812,0.104779412
19.37681159,0.100735294
20.49275362,0.096323529
21.60869565,0.091544118
22.82608696,0.086029412
23.84057971,0.08125
25.15942029,0.076838235
26.37681159,0.071323529
27.5942029,0.067279412
28.30434783,0.0625
29.42028986,0.059926471
30.43478261,0.055147059
32.05797101,0.050367647
33.17391304,0.046691176
34.49275362,0.04375
36.31884058,0.038602941
37.84057971,0.033088235
39.15942029,0.030514706
40.47826087,0.027573529
41.49275362,0.024632353
42.71014493,0.021691176
43.92753623,0.019485294
45.04347826,0.016911765
46.66666667,0.014705882
49,0.0125
50.92753623,0.010294118
52.55072464,0.009191176
54.27536232,0.007352941
56.10144928,0.00625
57.92753623,0.005147059
59.75362319,0.004044118
61.88405797,0.003676471
64.2173913,0.003308824
66.14492754,0.003676471
67.36231884,0.002573529
68.98550725,0.001838235
70.60869565,0.001838235
71.72463768,0.001838235
72.94202899,0.002205882
